"Sl No","Number of Vote","Date of Votes","Title in English","Title in French","Result","Def. Result","keyword1","keyword2","keyword3","type","Institutions","Theme codes","Turnout","Valid Ballot Sheets","Yes [%]","No [%]","Number of Yes-Votes in National Council","Number of No-Votes in National Council","Number of Abstentions in National Council","Number of Yes-Votes in States Council","Number of No-Votes in States Council","Number of Abstentions in States Council","Recommendation of Government","Total Electorate","Number Of Voters","Yes Votes","No Votes","Number of States accepting","Number of States rejecting","Linked Vote Status","Linked Vote","Without Response","Tie-Break Question: Number of People Supporting","Tie-Break Question: Number of State Supporting","Tie-Break Question: Without Response"
492,133,1940-12-01,"Federal law on amendment to articles 103 and 104 of federal law of 12 May 1907 on military organisation (introduction of compulsory military pre-training)","Loi fédérale modifiant les articles 103 et 104 de la loi du 12 avril 1907 sur l'organisation militaire. (Obligation de l'instruction militaire préparatoire.)","no",NA,"Military training","Electoral system","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Military training | Electoral system | none","63.61",780247,44.27,"55.73",NA,NA,NA,NA,NA,NA,"None",1254578,798085,345430,434817,NA,NA,"none",NA,NA,0,NA,0
493,132,1939-12-03,"Federal law on changing conditions of service and insurance of federal employees","Loi fédérale modifiant le statut des fonctionnaires et les conditions d'assurance du personnel fédéral","no",NA,"Government, administration","Occupational benefits provision","Budget cuts and remediation measures","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Government, administration | Occupational benefits provision | Budget cuts and remediation measures","63.86",771273,37.63,"62.37",NA,NA,NA,NA,NA,NA,"None",1241404,792899,290238,481035,NA,NA,"none",NA,NA,0,NA,0
494,131,1939-06-04,"Federal decree on supplement to the Federal Constitution for setting up and partial guarantee of credits to increase national defence and combat unemployment","Arrêté fédéral complétant la constitution fédérale en vue de l'octroi et de la couverture partielle de crédits destinés au renforcement de la défense nationale et à la lutte contre le chômage","yes",NA,"Armed forces - general","Employment policy","Road construction","mandatory Referendum","Constitutional Referendum (Partialrevision)","Armed forces - general | Employment policy | Road construction","54.72",645162,69.07,"30.93",NA,NA,NA,NA,NA,NA,"None",1226873,671453,445622,199540,"19","3","none",NA,NA,0,NA,0
495,129,1939-01-22,"Citizen's initiative ""Maintaining and protecting the constitutional rights of citizens"" (extension of constitutional jurisdiction)","Initiative populaire pour l'extension de la juridiction constitutionnelle (revision de l'article 113 de la constitution)","no",NA,"Courts","Legislative procedure","Referendum","initiative","Initiative (Formulated Draft)","Courts | Legislative procedure | Referendum","46.54",488663,28.92,"71.08",NA,NA,NA,NA,NA,NA,"None",1223536,569561,141323,347340,NA,"22","none",NA,NA,0,NA,0
496,130,1939-01-22,"Federal decree on the citizen's initiative to restrict application of the emergency clause (counter-proposal)","Arrêté fédéral sur la demande d'initiative tendant à restreindre l'emploi de la clause d'urgence (contre-projet)","yes",NA,"Parliament","Legislative procedure","Referendum","mandatory Referendum","Constitutional Referendum (Counter-draft)","Parliament | Legislative procedure | Referendum","46.54",501056,69.06,"30.94",NA,NA,NA,NA,NA,NA,"None",1223536,569561,346024,155032,"21","1","none",NA,NA,0,NA,0
497,128,1938-11-27,"Federal decree on transitional ordering of the budget","Arrêté fédéral concernant le régime transitoire des finances fédérales","yes",NA,"Financial system","Tax policy","Pension insurance","mandatory Referendum","Constitutional Referendum (Partialrevision)","Financial system | Tax policy | Pension insurance","60.34",704925,72.26,"27.74",NA,NA,NA,NA,NA,NA,"None",1223336,738307,509387,195538,"21","1","none",NA,NA,0,NA,0
498,127,1938-07-03,"Swiss penal code","Code pénal suisse","yes",NA,"Criminal law","Division of tasks","State security","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Criminal law | Division of tasks | State security","57.06",670468,53.46,"46.54",NA,NA,NA,NA,NA,NA,"None",1219755,695939,358438,312030,NA,NA,"none",NA,NA,0,NA,0
499,126,1938-02-20,"Counter proposal to the citizen's initiative ""Private arms industry""","Contre-projet à l'initiative populaire contre l'industrie privée des armements [Modification de l'article 41 de la constitution]","yes","yes","Arms","Structural policy","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Arms | Structural policy | none","54.33",572581,72.56,"27.44",NA,NA,NA,NA,NA,NA,"None",1216756,661022,394052,149025,"22",NA,"linked","Citizen's initiative ""Private arms industry""",NA,0,NA,0
500,124,1938-02-20,"Federal decree on revision of articles 107 and 116 of the Federal Constitution (recognition of Rhaeto-Romanic as a national language)","Arrêté fédéral revisant les articles 107 et 116 de la constitution fédérale (reconnaissance du romanche comme langue nationale)","yes",NA,"Language policy","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Language policy | none | none","54.33",627818,91.59,"8.41",NA,NA,NA,NA,NA,NA,"None",1216756,661022,574991,52827,"22",NA,"none",NA,NA,0,NA,0
501,125,1938-02-20,"Citizen's initiative ""Emergency law and maintenance and protection of people's rights"" (submission of emergency law to optional referendum)","Initiative populaire tendant à modifier le référendum facultatif (revision de l'article 89  2e alinéa  de la constitution)","no",NA,"Parliament","Legislative procedure","Referendum","initiative","Initiative (Formulated Draft)","Parliament | Legislative procedure | Referendum","54.33",575833,15.22,"84.78",NA,NA,NA,NA,NA,NA,"None",1216756,661022,87638,488195,NA,"22","none",NA,NA,0,NA,0
502,126,1938-02-20,"Citizen's initiative ""Private arms industry""","Arrêté fédéral concernant l'initiative populaire contre l'industrie privée des armements","no",NA,"Arms","Structural policy","none","initiative","Initiative (Formulated Draft)","Arms | Structural policy | none","54.33",572581,13.6,"86.4",NA,NA,NA,NA,NA,NA,"None",1216756,661022,65938,419013,NA,"22","linked","Counter proposal to the citizen's initiative ""Private arms industry""",NA,0,NA,0
503,123,1937-11-28,"Citizen's initiative ""Prohibition of freemasonry""","Initiative populaire concernant la revision partielle de l'article 56 de la constitution fédérale (interdiction des sociétés franc-maçonniques et associations similaires)","no",NA,"State security","Fundamental rights","none","initiative","Initiative (Formulated Draft)","State security | Fundamental rights | none","65.94",750307,31.32,"68.68",NA,NA,NA,NA,NA,NA,"None",1187637,783116,234980,515327,"1","21","none",NA,NA,0,NA,0
504,122,1935-09-08,"Citizen's initiative ""Total revision of the Constitution""","Initiative populaire pour la revision totale de la constitution","no",NA,"Constitution","none","none","mandatory Referendum","Constitutional Initiative (Total Revision)","Constitution | none | none","60.9",707713,27.71,"72.29",NA,NA,NA,NA,NA,NA,"None",1193941,727063,196135,511578,NA,NA,"none",NA,NA,0,NA,0
505,121,1935-06-02,"Citizen's initiative ""Measures against the economic crisis""","Initiative populaire pour combattre la crise économique et ses effets","no",NA,"Short-term economic policy","Employment policy","Monetary policy","initiative","Initiative (Formulated Draft)","Short-term economic policy | Employment policy | Monetary policy","84.34",992667,42.84,"57.16",NA,NA,NA,NA,NA,NA,"None",1194129,1007285,425242,567425,"5","17","none",NA,NA,0,NA,0
506,120,1935-05-05,"Federal law on regulating transport of goods and animals in motor vehicles on public roads","Loi fédérale réglant le transport de marchandises et d'animaux sur la voie au moyen de véhicules automobiles. (Loi sur le partage du trafic.)","no",NA,"Transport policy","Structural policy","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Transport policy | Structural policy | none","63.16",720123,32.35,"67.65",NA,NA,NA,NA,NA,NA,"None",1190054,751726,232954,487169,NA,NA,"none",NA,NA,0,NA,0
507,119,1935-02-24,"Federal law on amendment to federal law of 12 April 1907 on organisation of the military (reorganising training)","Loi fédérale modifiant celle du 12 avril 1907 sur l'organisation militaire (Réorganisation de l'instruction)","yes",NA,"Military training","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Military training | none | none","79.91",936954,54.16,"45.84",NA,NA,NA,NA,NA,NA,"None",1189573,950680,507434,429520,NA,NA,"none",NA,NA,0,NA,0
508,118,1934-03-11,"Federal law on defence of public order","Loi fédérale sur la protection de l'ordre public","no",NA,"State security","Fundamental rights","Freedom of the media","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","State security | Fundamental rights | Freedom of the media","78.98",908071,46.19,"53.81",NA,NA,NA,NA,NA,NA,"None",1167508,922184,419399,488672,NA,NA,"none",NA,NA,0,NA,0
509,117,1933-05-28,"Federal law on temporary lowering of salaries of federal employees","Loi fédérale réduisant temporairement les traitements et salaires des personnes au service de la Confédération","no",NA,"Government, administration","Budget cuts and remediation measures","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Government, administration | Budget cuts and remediation measures | none","80.51",916726,44.89,"55.11",NA,NA,NA,NA,NA,NA,"None",1154963,929849,411536,505190,NA,NA,"none",NA,NA,0,NA,0
510,115,1931-12-06,"Federal law on old age-  widows- and orphans insurance","Loi fédérale sur l'assurance-vieillesse et survivants","no",NA,"Pension insurance","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Pension insurance | none | none","78.15",851544,39.7,"60.3",NA,NA,NA,NA,NA,NA,"None",1124881,879063,338032,513512,NA,NA,"none",NA,NA,0,NA,0
511,116,1931-12-06,"Federal law on taxation of tobacco","Loi fédérale sur l'imposition du tabac","no",NA,"Indirect taxation","Pension insurance","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Indirect taxation | Pension insurance | none","78.15",848972,49.89,"50.11",NA,NA,NA,NA,NA,NA,"None",1124881,879063,423523,425449,NA,NA,"none",NA,NA,0,NA,0
512,113,1931-03-15,"Federal decree on revision of article 72 of the Federal Constitution (election of National Council)","Arrêté fédéral concernant la revision de l'article 72 de la constitution (élection du Conseil national)","yes",NA,"Electoral system","Parliament","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Electoral system | Parliament | none","53.47",549435,53.88,"46.12",NA,NA,NA,NA,NA,NA,"None",1104113,590442,296053,253382,"13.5","8.5","none",NA,NA,0,NA,0
513,114,1931-03-15,"Federal decree on revision of articles 76  96(1) and 105(2) (term of office of National Council  Federal Council and Federal Chancellor)","Arrêté fédéral concernant la revision des articles 76  96  1er et 3e alinéas  et 105  2e alinéa  de la constitution (durée du mandat du Conseil national  du Conseil fédéral et du chancelier de la Confédération)","yes",NA,"Government, administration","Parliament","Electoral system","mandatory Referendum","Constitutional Referendum (Partialrevision)","Government, administration | Parliament | Electoral system","53.47",554857,53.7,"46.3",NA,NA,NA,NA,NA,NA,"None",1104113,590442,297938,256919,"16","6","none",NA,NA,0,NA,0
514,112,1931-02-08,"Federal decree on the citizen's initiative for revision of article 12 of the Federal Constitution (ban on religious orders) (counter-proposal)","Arrêté fédéral sur la demande d'initiative concernant la revision de l'article 12 de la constitution fédérale (interdiction des décorations) (contre-projet)","yes",NA,"Independence","Armed forces - general","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Independence | Armed forces - general | none","41.83",418649,70.19,"29.81",NA,NA,NA,NA,NA,NA,"None",1100670,460440,293845,124804,"17","5","none",NA,NA,0,NA,0
515,111,1930-04-06,"Federal decree on revision of articles 31 and 32(2) of the Federal Constitution and adoption of a new article 32(4) (alcoholic beverages)","Arrêté fédérale concernant la revision des articles 31 et 32bis de la constitution fédérale  (régime des alcools)","yes",NA,"Addictive substances","Indirect taxation","Crop production","mandatory Referendum","Constitutional Referendum (Partialrevision)","Addictive substances | Indirect taxation | Crop production","75.7",815889,60.58,"39.42",NA,NA,NA,NA,NA,NA,"None",1093191,827636,494248,321641,"17","5","none",NA,NA,0,NA,0
516,109,1929-05-12,"Citizen's initiative ""Legislative authority in the area of road traffic""","Initiative populaire concernant la circulation routière","no",NA,"Road transport","Intergovernmental relations","Indirect taxation","initiative","Initiative (Formulated Draft)","Road transport | Intergovernmental relations | Indirect taxation","65.08",668432,37.15,"62.85",NA,NA,NA,NA,NA,NA,"None",1075950,700279,248350,420082,"3","19","none",NA,NA,0,NA,0
517,110,1929-05-12,"Citizen's initiative ""Prohibition of spirits""","Initiative populaire concernant le droit des cantons et des communes d'interdire les boissons distillées","no",NA,"Addictive substances","none","none","initiative","Initiative (Formulated Draft)","Addictive substances | none | none","66.41",694518,32.65,"67.35",NA,NA,NA,NA,NA,NA,"None",1075950,714510,226794,467724,"0.5","21.5","none",NA,NA,0,NA,0
518,107,1929-03-03,"Counter proposal to the citizen's initiative ""Supply of cereals""","Contre-projet à l'initiative populaire visant l'insertion d'un article 23bis dans la constitution fédérale (approvisionnement du pays en blé) [Insertion d'un article 23bis dans la constitution]","yes","yes","Crop production","National economic supply","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Crop production | National economic supply | none","67.26",690491,66.88,"33.12",NA,NA,NA,NA,NA,NA,"None",1071934,720983,461176,228357,"21","1","linked","Citizen's initiative ""Supply of cereals""",NA,0,NA,0
519,108,1929-03-03,"Federal law on amendment to article 14 of the Federal Constitution of 10 October 1902 on Swiss customs duty","Loi fédérale modifiant l'article 14 de la loi fédérale du 10 octobre 1902 sur le tarif des douanes suisses","yes",NA,"Crop production","National economic supply","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Crop production | National economic supply | none","67.26",684336,66.42,"33.58",NA,NA,NA,NA,NA,NA,"None",1071934,720983,454535,229801,NA,NA,"none",NA,NA,0,NA,0
520,107,1929-03-03,"Citizen's initiative ""Supply of cereals""","Arrêté fédéral concernant l'initiative populaire visant l'insertion d'un article 23bis dans la constitution fédérale (approvisionnement du pays en blé)","no",NA,"Crop production","National economic supply","none","initiative","Initiative (Formulated Draft)","Crop production | National economic supply | none","67.26",690491,2.68,"97.32",NA,NA,NA,NA,NA,NA,"None",1071934,720983,18487,672004,NA,"22","linked","Counter proposal to the citizen's initiative ""Supply of cereals""",NA,0,NA,0
521,106,1928-12-02,"Citizen's initiative ""Casinos""","Initiative populaire portant modification de l'article 35 de la Constitution (initiative populaire en faveur du maintien des kursaals et de l'encouragement du tourisme en Suisse)","yes",NA,"Structural policy","Lottery and gambling","none","initiative","Initiative (Formulated Draft)","Structural policy | Lottery and gambling | none","55.52",570923,51.92,"48.08",NA,NA,NA,NA,NA,NA,"None",1067754,592849,296395,274528,"14.5","7.5","none",NA,NA,0,NA,0
522,105,1928-05-20,"Federal decree on revision of article 44 of the Federal Constitution (Reduction of number of foreigners)","Arrêté fédéral concernant la revision de l'article 44 de la Constitution (naturalisations)","yes",NA,"Immigration policy","Citizenship","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Immigration policy | Citizenship | none","45.25",447465,70.68,"29.32",NA,NA,NA,NA,NA,NA,"None",1050683,475391,316250,131215,"19.5","2.5","none",NA,NA,0,NA,0
523,104,1927-05-15,"Federal law on automobile and cycle traffic","Loi fédérale sur la circulation des automobiles et des cycles","no",NA,"Road transport","Intergovernmental relations","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Road transport | Intergovernmental relations | none","57.84",573674,40.14,"59.86",NA,NA,NA,NA,NA,NA,"None",1038136,600601,230287,343387,NA,NA,"none",NA,NA,0,NA,0
524,103,1927-05-15,"Federal decree concerning amendment to article 30 of the Federal Constitution","Arrêté fédéral concernant la révision de l'article 30 de la Constitution (routes alpestres internationales)","yes",NA,"Heavy traffic","Intergovernmental relations","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Heavy traffic | Intergovernmental relations | none","55.31",533511,62.64,"37.36",NA,NA,NA,NA,NA,NA,"None",1038136,574214,334206,199305,"21","1","none",NA,NA,0,NA,0
525,102,1926-12-05,"Federal decree on adopting a new article 23(2) into the Federal Constitution relating to national provision of grain","Arrêté fédéral du 21 avril 1926 portant addition à la constitution fédérale d'un article 23bis sur l'approvisionnement du pays en céréales","no",NA,"Crop production","National economic supply","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Crop production | National economic supply | none","72.7",738556,49.62,"50.38",NA,NA,NA,NA,NA,NA,"None",1034547,752234,366507,372049,"9","13","none",NA,NA,0,NA,0
526,101,1925-12-06,"Federal decree on disability  old age-  widows- and orphans insurance","Arrêté fédéral concernant l'assurance en cas de vieillesse  l'assurance des survivants et l'assurance en cas d'invalidité","yes",NA,"Pension insurance","Indirect taxation","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Pension insurance | Indirect taxation | none","63.08",628471,65.39,"34.61",NA,NA,NA,NA,NA,NA,"None",1019522,643066,410988,217483,"16.5","5.5","none",NA,NA,0,NA,0
527,100,1925-10-25,"Federal decree concerning temporary and permanent residence of foreigners","Arrêté fédéral concernant le séjour et l'établissement des étrangers ","yes",NA,"Immigration policy","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Immigration policy | none | none","67.94",614653,62.21,"37.79",NA,NA,NA,NA,NA,NA,"None",1017692,691544,382381,232272,"18.5","3.5","none",NA,NA,0,NA,0
528,99,1925-05-24,"Citizen's initiative ""Disability  old age-  widows- and orphans insurance""","Initiative populaire visant l'insertion dans la constitution fédérale d'un article 34quater (création d'un fonds pour l'assurance-invalidité  vieillesse et survivants)","no",NA,"Pension insurance","Direct taxation","none","initiative","Initiative (Formulated Draft)","Pension insurance | Direct taxation | none","68.23",672656,42,"58",NA,NA,NA,NA,NA,NA,"None",1008865,688402,282527,390129,"6","16","none",NA,NA,0,NA,0
529,98,1924-02-17,"Federal law concerning amendment to article 41 of the Factory law of 18 June 1914/ 27 June 1919","Loi fédérale modifiant l'art. 41 de la loi sur les fabriques du 18 juin 1914/27 juin 1919","no",NA,"Short-term economic policy","Working hours","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Short-term economic policy | Working hours | none","76.98",756848,42.37,"57.63",NA,NA,NA,NA,NA,NA,"None",995663,766505,320668,436180,NA,NA,"none",NA,NA,0,NA,0
530,97,1923-06-03,"Federal decree concerning revision of articles 31 and 32(2) (alcoholic beverages) of the Federal Constitution","Arrêté fédéral concernant la revision des articles 31 et 32bis (régime des alcools) de la Constitution fédérale","no",NA,"Addictive substances","Indirect taxation","Pension insurance","mandatory Referendum","Constitutional Referendum (Partialrevision)","Addictive substances | Indirect taxation | Pension insurance","64.58",623085,42.16,"57.84",NA,NA,NA,NA,NA,NA,"None",985774,636591,262688,360397,"10","12","none",NA,NA,0,NA,0
531,96,1923-04-15,"Citizen's initiative ""Maintaining and protecting the people's rights in customs matters""","Initiative populaire pour la garantie des droits populaires dans la question douanière (article 29 de la Constitution fédérale )","no",NA,"Customs","Referendum","none","initiative","Initiative (Formulated Draft)","Customs | Referendum | none","65.76",638896,26.77,"73.23",NA,NA,NA,NA,NA,NA,"None",990202,651159,171020,467876,"0.5","21.5","none",NA,NA,0,NA,0
532,94,1923-02-18,"Citizen's initiative ""Preventive detention"" (for Swiss citizens endangering internal security)","Initiative populaire sur ""l'arrestation des citoyens suisses qui compromettent la sûreté intérieure du pays''","no",NA,"State security","Fundamental rights","Criminal law","initiative","Initiative (Formulated Draft)","State security | Fundamental rights | Criminal law","53.24",500751,11.01,"88.99",NA,NA,NA,NA,NA,NA,"None",989661,526876,55145,445606,NA,"22","none",NA,NA,0,NA,0
533,95,1923-02-18,"Federal decree concerning ratification of the treaty signed in Paris on 7 August 1921 between Switzerland and France concerning trade relations and border traffic between the previous free trade zones of Haute-Savoie  the Pays de Gex and the neighbouring Swiss cantons","Arrêté fédéral ratifiant la Convention entre la Suisse et la France réglant les relations de commerce et de bon voisinage entre les anciennes zones franches de la Haute-Savoie et du Pays de Gex et les cantons suisses limitrophes  signée à Paris le 7 août 1921","no",NA,"Foreign trade policy","Bilateral treaties","none","facultative Referendum","Optional Treaty Referendum (for an unlimited period or duration >15 years)","Foreign trade policy | Bilateral treaties | none","53.43",508197,18.48,"81.52",NA,NA,NA,NA,NA,NA,"None",989661,528736,93892,414305,NA,NA,"none",NA,NA,0,NA,0
534,93,1922-12-03,"Citizen's initiative ""For a one-off capital tax""","Initiative populaire concernant le prélèvement d'un impôt unique sur la fortune (article 42bis de la Constitution)","no",NA,"Direct taxation","Budget cuts and remediation measures","Social security","initiative","Initiative (Formulated Draft)","Direct taxation | Budget cuts and remediation measures | Social security","86.29",846654,12.96,"87.04",NA,NA,NA,NA,NA,NA,"None",992523,856148,109702,736952,NA,"22","none",NA,NA,0,NA,0
535,92,1922-09-24,"Federal law concerning amendment to Penal code of 4 February 1853 in respect of breaches of constitutional order and internal security and introduction of the conditional execution of sentence","Loi fédérale modifiant le code pénal fédéral du 4 février 1853 en ce qui concerne les crimes et délits contre l'ordre constitutionnel et la sûreté intérieure  et introduisant le sursis à l'exécution de la peine","no",NA,"Criminal law","State security","Fundamental rights","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Criminal law | State security | Fundamental rights","70.3",680626,44.63,"55.37",NA,NA,NA,NA,NA,NA,"None",982567,690844,303794,376832,NA,NA,"none",NA,NA,0,NA,0
536,89,1922-06-11,"Citizen's initiative part I ""Naturalisation""","Initiative populaire concernant 'les naturalisations  partie I'","no",NA,"Immigration policy","Citizenship","none","initiative","Initiative (Formulated Draft)","Immigration policy | Citizenship | none","45.59",413816,15.91,"84.09",NA,NA,NA,NA,NA,NA,"None",976105,445100,65828,347988,NA,"22","none",NA,NA,0,NA,0
537,90,1922-06-11,"Citizen's initiative part II ""Expulsion of foreigners""","Initiative populaire concernant 'l'expulsion pour atteinte à la sécurité du pays  partie II')","no",NA,"Immigration policy","State security","none","initiative","Initiative (Formulated Draft)","Immigration policy | State security | none","45.59",418081,38.08,"61.92",NA,NA,NA,NA,NA,NA,"None",976105,445100,159200,258881,NA,"22","none",NA,NA,0,NA,0
538,91,1922-06-11,"Citizen's initiative ""Eligibility of civil servants for the National Council""","Initiative populaire sur ""l'éligibilité des fonctionnaires fédéraux au Conseil national''","no",NA,"Parliament","Government, administration","Electoral system","initiative","Initiative (Formulated Draft)","Parliament | Government, administration | Electoral system","45.59",417650,38.35,"61.65",NA,NA,NA,NA,NA,NA,"None",976105,445100,160181,257469,"5","17","none",NA,NA,0,NA,0
539,87,1921-05-22,"Federal decree concerning adoption of new articles 37(2) and 37(3) into the Federal Constitution (automobile and cycle traffic  aeronautics)","Arrêté fédéral concernant l'insertion dans la constitution fédérale d'un art.37bis (circulation des automobiles et des cycles); ","yes",NA,"Road transport","Intergovernmental relations","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Road transport | Intergovernmental relations | none","38.56",345173,59.77,"40.23",NA,NA,NA,NA,NA,NA,"None",969522,373921,206297,138876,"15.5","6.5","none",NA,NA,0,NA,0
540,88,1921-05-22,"Federal decree concerning adoption of article 37(3) into the Federal Constitution (aeronautics)","Arrêté fédéral concernant l'insertion dans la constitution fédérale d'un art.37ter (navigation aérienne) ","yes",NA,"Air transport","Intergovernmental relations","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Air transport | Intergovernmental relations | none","38.38",338390,62.19,"37.81",NA,NA,NA,NA,NA,NA,"None",969522,372187,210447,127943,"20.5","1.5","none",NA,NA,0,NA,0
541,85,1921-01-30,"Citizen's initiative ""For the introduction of a referendum on treaties with unlimited duration or with a duration of more than 15 years"" (Referendum on international treaties)","Initiative populaire concernant la soumission de traités internationaux au référendum","yes",NA,"Referendum","Position on foreign policy","none","initiative","Initiative (Formulated Draft)","Referendum | Position on foreign policy | none","63.11",558542,71.35,"28.65",NA,NA,NA,NA,NA,NA,"None",967289,610411,398548,160004,"20","2","none",NA,NA,0,NA,0
542,86,1921-01-30,"Citizen's initiative ""Abolition of military courts""","Initiative populaire 'Suppression de la justice millitaire' ","no",NA,"Armed forces - general","Criminal law","none","initiative","Initiative (Formulated Draft)","Armed forces - general | Criminal law | none","63.11",591847,33.57,"66.43",NA,NA,NA,NA,NA,NA,"None",967289,610411,198696,393151,"3","19","none",NA,NA,0,NA,0
543,84,1920-10-31,"Federal law concerning working hours on rail and other public transport","Loi fédérale concernant la durée du travail dans l'exploitation des chemins de fer et autres entreprises de transport et de communications","yes",NA,"Working hours","none","Government, administration","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Working hours | none | Government, administration","68.09",646808,57.12,"42.88",NA,NA,NA,NA,NA,NA,"Acceptance",964587,656913,369466,277342,NA,NA,"none",NA,NA,0,NA,0
544,83,1920-05-16,"Federal decree on accession of Switzerland to the League of Nations","Arrêté fédéral concernant l'accession de la Suisse à la Société des Nations","yes",NA,"International organisations","none","none","mandatory Referendum","Customary Mandatory Treaty Referendum (Extraordinary)","International organisations | none | none","77.47",740589,56.29,"43.71",NA,NA,NA,NA,NA,NA,"None",968327,750159,416870,323719,"11.5","10.5","none",NA,NA,0,NA,0
545,82,1920-03-21,"Counter proposal to the citizen's initiative ""Prohibition on the setting up of casinos""","Contre-projet à l'initiative populaire concernant l'interdiction des maisons de jeu. [Modification de l'article 35 de la constitution.]","no",NA,"Structural policy","Lottery and gambling","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Structural policy | Lottery and gambling | none","60.22",499143,26.14,"73.86",NA,NA,NA,NA,NA,NA,"None",957386,576656,122240,345327,"0.5","21.5","linked","Citizen's initiative ""Prohibition on the setting up of casinos""",NA,0,NA,0
546,81,1920-03-21,"Federal law on regulating working conditions","Loi fédérale portant réglementation des conditions de travail","no",NA,"Industrial relations","Employment policy","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Industrial relations | Employment policy | none","60.29",510856,49.81,"50.19",NA,NA,NA,NA,NA,NA,"None",957389,577247,254455,256401,NA,NA,"none",NA,NA,0,NA,0
547,82,1920-03-21,"Citizen's initiative ""Prohibition on the setting up of casinos""","Arrêté fédéral concernant l'initiative populaire pour la modification de l'article 35 de la constitution fédérale (interdiction des maisons de jeux) (initiative et contre-projet)","yes","yes","Structural policy","Lottery and gambling","none","initiative","Initiative (Formulated Draft)","Structural policy | Lottery and gambling | none","60.22",499143,55.3,"44.7",NA,NA,NA,NA,NA,NA,"None",957386,576656,276021,223122,"14","8","linked","Counter proposal to the citizen's initiative ""Prohibition on the setting up of casinos""",NA,0,NA,0
548,80,1919-08-10,"Federal decree concerning adoption of temporary rules under article 73 of the Federal Constitution","Arrêté fédéral concernant l'adoption de dispositions transistoires pour l'application de l'article 73 de la constitution fédérale","yes",NA,"Parliament","Government, administration","Electoral system","mandatory Referendum","Constitutional Referendum (Partialrevision)","Parliament | Government, administration | Electoral system","32.83",279377,71.59,"28.41",NA,NA,NA,NA,NA,NA,"None",931523,305795,200008,79369,"21.5","0.5","none",NA,NA,0,NA,0
549,78,1919-05-04,"Federal decree concerning insertion of article 24(3) into the Federal Constitution (shipping)","Arrêté fédéral concernant l'insertion d'un article 24ter dans la constitution fédérale (navigation)","yes",NA,"Shipping","Intergovernmental relations","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Shipping | Intergovernmental relations | none","53.88",477391,83.61,"16.39",NA,NA,NA,NA,NA,NA,"None",937257,505121,399131,78260,"22",NA,"none",NA,NA,0,NA,0
550,79,1919-05-04,"Federal decree concerning enactment of a constitutional provision for raising a new extraordinary war tax","Arrêté fédéral concernant l'adoption d'un article constitutionnel relatif à la perception d'un nouvel impôt de guerre extraordinaire","yes",NA,"Direct taxation","Budget cuts and remediation measures","Armed forces - general","mandatory Referendum","Constitutional Referendum (Partialrevision)","Direct taxation | Budget cuts and remediation measures | Armed forces - general","53.75",472647,65.07,"34.93",NA,NA,NA,NA,NA,NA,"None",937257,503914,307528,165119,"20","2","none",NA,NA,0,NA,0
551,77,1918-10-13,"Citizen's initiative ""Proportional election of the National Council""","Initiative populaire tendant à l'application du système proportionnel aux élections du Conseil national","yes",NA,"Electoral system","Parliament","none","initiative","Initiative (Formulated Draft)","Electoral system | Parliament | none","49.47",448587,66.78,"33.22",NA,NA,NA,NA,NA,NA,"None",936336,463302,299550,149035,"19.5","2.5","none",NA,NA,0,NA,0
